Gira,Título do Ponto,Letra do Ponto,Médium,Entidade,Categoria
,,"Eu fui na mata apanhar guiné
Para defumar, os meus filhos de fé (2x)

Defuma eu Babá
Defuma eu Babá
Pois esta casa também é de Oxalá (2x)",,,Defumação 
Abertura da Gira,,"Defuma com as ervas da Jurema
Defuma com arruda e guiné
Defuma com as ervas da Jurema
Defuma com arruda e guiné
Bejoim, Alecrim e Alfazema
Vamos defumar filhos de fé",,,Defumação 
Abertura da Gira,,"Defuma, defumador
Esta casa de Nosso Senhor (2x)

Leva pras ondas do mar
O mal que aqui possa estar (2x)",,,Defumação 
Abertura da Gira,,"Nossa Senhora incensou a Jesus Cristo
Jesus Cristo incensou aos filhos seus

Eu incenso, eu incenso essa casa
Na fé de Oxóssi, de Ogum e Oxalá (2x)

Estou incensando, estou defumando
A Casa do Bom Jesus da Lapa (2x)",,,Defumação 
Abertura da Gira,,"Corre gira pai Ogum
Filhos quer se defumar!
Umbanda tem fundamento
É preciso preparar!
Com incenso e benjoim
Alecrim e Alfazema!
Defumar filhos de fé
Com as servas da Jurema!",,,Defumação 
Abertura da Gira,,"Cheirou
Como cheira umbanda
Umbanda cheirou guiné (2x)

Defuma com Jesus, Maria e José
Vamos defumar os filhos seus

Defuma com Deus
E Nossa Senhora
Pra afastar os inimigos da porta pra fora (2x)",,,Defumação 
Abertura da Gira,,"Eu sou a planta que cresce no vaso
Eu sou o rio que corre pro mar

Eu sou a cobra que pia nas matas
Sou o perfume que defuma o Congá (2x)

Ê ê ê ê
Ê ê ê ah (2x)",,,Defumação 
Abertura da Gira,Hino da Umbanda,"Refletiu a luz divina
Com todo seu esplendor
É no reino de Oxalá
Aonde há paz e amor
Luz que refletiu na terra
Luz que refletiu no mar
Luz que veio de Aruanda
Para nos iluminar

A Umbanda é paz e amor
É um mundo cheio de Luz
É força que nos dá vida
E a grandeza nos conduz

Avante, filhos de fé
Como a nossa lei não há
Levando ao mundo inteiro
A bandeira de Oxalá",,,
Abertura da Gira,Abertura - Eu abro a nossa gira,"Eu abro a nossa gira
Com Deus e Nossa Senhora
Eu abro a nossa gira
Samborê pemba de Angola",,,
Abertura da Gira,Abertura - Me abre essa Gira Ogum,"Me abre essa Gira Ogum
Não deixa a demanda entrar
É hora é hora é hora meu Pai
É hora de trabalhar (2x)",,,
Abertura da Gira,Saudação às Sete Linhas,"Quando os caboclos trazem as folhas da Jurema
E os pretos velhos trazem arruda e guiné
Eles vem trabalhar na lei de Umbanda
Com a licença de Aruanda pra salvar a quem tem fé (2x)

O sabiá canta alegre na palmeira
Xangô lá na pedreira os seus filhos vem salvar
Meu pai Ogum empunhando a sua espada
Manda o toque de alvorada toda linha vai chegar (2x)",,,
Abertura da Gira,Saudação à Esquerda,"Exu, Exu Tranca Ruas
Me abre o terreiro
Oh me fecha a rua (2x)

LAROYÊ EXU!!!!
Laroyê Exu

Exu, dá uma volta lá fora (2x)
Se for bom, bota pra dentro
Se for mau, deixa lá fora (2x)",,,
teste,teeste,,,,
