Gira,Título do Ponto,Letra do Ponto,Médium,Entidade,Toque
Baianos,Bahia oh Africa,"Bahia oh Africa
Bahia, oh África
Vem cá, vem nos ajudar (2x)
Força baiana, força africana
Força divina, vem cá, vem cá (2x)",,,Samba Cabula
Baianos,Mas olha meu camarada,"Mas olha meu camarada
Mas olha meu camarada
Camarada meu (2x)

Seu Zé do Coco quem chegou aqui agora
Umbanda bateu no Keto
Umbanda bateu na Angola","Pai Marcos, Angelo",Zé do Coco,Samba Cabula
Baianos,Não mexa nesse coqueiro,"Não mexa nesse coqueiro o moleque
Que o dono não vai gostar
Pra mexer nesse coqueiro moleque
O dono tem que deixar (2x)

Mas eu vim da Bahia
Com certeza eu faço o bem
Sou baiano Zé do Coco o moleque
Não devo nada para ninguém (2x)","Pai Marcos, Angelo",Zé do Coco,Samba Cabula
Baianos,Hoje ele é doutor,"Lá na Bahia
Tem um homem feiticeiro
Tem fama de mandingueiro
Dizem que não morre não.
Já foi rasgado na ponta
De uma peixeira
Já levou bala certeira
Mas da morte ele voltou

Foi tocaiado
Mas sumiu no meio do mato
Ele foi prisioneiro
Mas das grades escapou

Dizem que é bruxo
E tem o corpo fechado.
Zé do coco é bom de papo
E até a morte ele enganou.

Só foi embora quando
Achou que era hora.
Sentiu saudades e por isso ele voltou
Vem no terreiro
Pra ajudar a qualquer hora (2x)","Pai Marcos, Angelo",Zé do Coco,Samba Cabula
Baianos,Zé do Cangaço,"Oh mulher, Oh mulher
Vá buscar a lamparina
Meu chapéu e minha faca
A espada do cangaço
E peixeira afiada
Sou Zé do Cangaço
Tenho fé no padinciço
Obedeço a Lampião
Sou primo de Galo Cego
E Corisco é meu irmão","Pai Erick, Diego",Zé do Cangaço,Samba Cabula
Baianos,Maria Légua - Chamada da família Légua,"Me convidaram pró engenho
Chegando lá tinha cana pra moer (2x)
Ó bota a cana pra moer
A familia de Légua quer beber (2x)

Eu vou beber cachaça
Mas não vou cair no chão (2x)

A macumba só é boa
É na eira do Maranhão (2x)
E Maranhão, e Maranhão
A macumba é boa é no Maranhão (2x)
E na eira do Maranhão (4x)",Claudia,Maria Légua,Samba Cabula
Baianos,José Severino - Estrela D'alva,"Estrela D'alva
Estrela d'alva
Estrela matutina
A luz Divina
Venha nos salvar (2x)

E Jesus Cristo
Venha nos salvar
Vou saudar Seu Severino
Na falange de Oxalá (2x)",Eric Oliveira,José Severino,Samba Cabula
Baianos,Foi na pisada do Baiano,"Foi na pisada do Baiano
Foi na pisada do Baiano
Que eu vi Pedra rolar
Na pisada do Baiano
Que eu vi balancear (2x)

Ele é Baiano
Eu sou Baiano
E sirvo ao nosso Senhor (2x)",Eric Oliveira,José Severino,Samba Cabula
Baianos,Zé Baiano - Coroa de Ouro,"Coroa de ouro
Cravejada de marfim (2x)
Zé Baiano é coroado
Na Igreija do Bomfim (2x)",Lu,Zé Baiano,Samba Cabula
Baianos,Lele Baiana,"Ê a baiana deu sinal
(Oh lelê, baiana)
A baianinha deu sinal
(Oh lelê, baiana)

A baiana me pega
Me joga na lama
Eu não sou camarão
Que a maré me chama
(Oh lelê, baiana)",,,Samba Cabula
Baianos,Venha me abençoar,"Zé, Zé Zé do Coqueiro
Venha cá me abençoar
Zé, Zé Zé do Coqueiro
Não me canso de chamar (2x)

No coqueiro ele sobe
Pra tirar o côco verde
Da arua do ele vem
Pra ajudar toda essa gente

Nessa risca é faceiro
Ele joga capoeira
Ele encanta com a ginga
Ele é bem mandingueiro

Toma água, toma pinga
Toma queda, vem ao chão
Pra mostrar filho de fé
Humildade meu irmão (2x)",,,Samba Cabula
Baianos,Baiano bom,"Baiano bom
Baiano bom
Baiano bom
Baiano bom
É que sabe trabalhar (2x)

Baiano bom
É que sobe no coqueiro
Pega água desse coco
E deixa o coco no lugar (2x)",,,Samba Cabula
Baianos,Senhor do Bonfim,"Oh meu Senhor do Bonfim
Malei me São Salvador
Vamos Saravá minha gente
O povo da Bahia chegou (2x)

Bahia, Bahia
Bahia de São Salvador
Quem nunca foi a Bahia
Peça a Deus Nosso Senhor (2x)
Pra ajudar Babalaô",,,Samba Cabula
Baianos,Filha de nagô,"Baiana faz e não manda
Nem tem medo de demanda (2x)
Baiana feiticeira
Filha de Nagô
Trabalha com pó de pemba
Pra ajudar Babalaô

Baiana sim, baiana vem
Quebra mandinga com dendê (2x)",,,Samba Cabula
Baianos,Povo bom,"Baiano é povo bom
Povo trabalhador (2x)
Quem mexe com baiano
Mexe com nosso Senhor (2x)",,,Samba Cabula
Baianos,Eu quero ver,"Agora que eu quero ver
Dança catira no azeite de dendê
Eu quero ver
A baianada de Aruanda.
Trabalhando na Umbanda
Pra demanda não vencer (2x)

Afirma ponto baiano
Que eu quero ver
Dança catira no azeite de dendê
Eu quero ver
A baianada de Aruanda
Trabalhando na Umbanda
Pra demanda não vencer (2x)",,,Samba Cabula
Baianos,Balança porteira velha,"Balança porteira velha
Balança porteira velha
Porteira balanceou
Balança porteira velha
Que os baianos saravou",,,Samba Cabula
Baianos,Galo cantou,"Galo cantou
Cantou de madrugada (2x)

Oi tá na hora
Na hora da baianada (2x)

Quem tem baiano pisa
Eu quero ver pisar (2x)

O Deus salva a baianada
Aqui neste congá (2x)",,,Samba Cabula
Baianos,Dizem que baiano,"Dizem que baiano
Dizem que baiano
Tem o pé rachado
Quem mexe com baiano
Ou tá doido ou tá danado (2x)

Vem baiano vem
Olhar o balanço do mar
Vem baiano vem
Eu quero ver você sambar (2x)",,,Samba Cabula
Baianos,Ê baiano,"Nego tá no topo
Nego quer te derruba (3x)",,,Samba Cabula
Baianos,Ei Baiana,"Ei Baiana
Ei ei ei baiana, baianinha (2x)

Baiana boa
Gosta de samba
Gosta da roda
E diz que é bamba (2x)

Olha toca a viola
Que ela quer sambar
Ela gosta do samba
Ela quer rebolar (2x)",,,Samba Cabula
Baianos,Lampião de vidro,"Na Bahia tem
Vou mandar buscar.
Lampião de vidro ô sinhá dona
Para clarear (2x)",,,Samba Cabula
Baianos,Bahia me chamou,"Oh oh, oh
A Bahia me chamou (2x)
Vou ver meu pai de Santo
Saravá meu pai Xangô

Oh oh, oh
A Bahia me chamou (2x)
Vou pagar uma promessa
Ao meu Senhor do Bonfim
Vou pedir ao meu Pai Xangô
Que não se esqueça de mim

Oh oh, oh
A Bahia me chamou (2x)
Bahia de todos Santos
Do poeta e compositor
Bahia dos grandes contos
Que a natureza criou

Oh oh, oh
A Bahia me chamou (2x)",,,Samba Cabula
Baianos,Maria do Balaio,"Pra você que não conhece
Eu vou lhe apresentar
É a Maria do Balaio
Que acaba de chegar (2x)

Sua saia a rodar
Com sete velas na mão
Ela quebra o feitiço
E também amarração (2x)

Ela gira no terreiro
Gira gira sem parar
Vai limpando seus filhos
Não deixa ninguém tombar (2x)",,,Samba Cabula
Baianos,Pisa Baiano,"Pisa baiano
Pisa lá que eu piso cá
Pisa baiano
Eu quero ver você pisar (2x)",,,Samba Cabula
Baianos,Como essa coisa é boa,"Como essa coisa é boa
Nunca vi um rei de Umbanda
Trabalhar sem a coroa (2x)",,,Samba Cabula
Baianos,Eu fui à Bahia,"Eu fui á Bahia
Eu fui à Bahia
Fui implorar
Ao meu Senhor do Bonfim (2x)

Que ele me ajudasse
A seguir na Umbanda
Meu caminho até o fim (2x)

Oh Bahia
Bahia do meu Senhor do Bonfim
Oh Bahia
Peça a Oxalá por mim (2x)

Baiana da saia rendada
Tabuleiro de Acarajé
Baiana tá no terreiro
Sambando com muita fé (2x)",,,Samba Cabula
Baianos,Eu sou baiano,"Eu sou baiano
Lá da Bahia
Não mexe comigo não
(Eu sou baiano)
O meu corpo tem agulha
(Eu sou baiano)
Se mexer comigo eu choro
(Eu sou baiano)
Ah se eu chorar eu quero rir
(Eu sou baiano)",,,Samba Cabula
Baianos,Todo baiano que vem lá da Bahia,"Todo baiano que vem lá da Bahia
Ele traz sua alegria
Pra seu povo ajudar (x2)
Traz a coroa de nossa Mãe Iemanjá
E traz a força de nosso Pai Oxalá (x2)",,,Samba Cabula
Baianos,Coquinho baiano,"Quando eu vim da Bahia
Estrada eu não via (2x)
Toda encruza que eu passava
Uma vela eu acendia (2x)

Coquinho, coquinho baiano
Coquinho, lá da Bahia
Coquinho venceu demanda
Com a Senhora da Guia (2x)",,,Samba Cabula
Baianos,Pisa no catimbó,"Oh vamo baianada
Pisar no catimbó
Amarrar os inimigos
Na pontinha do cipó (2x)

Amarrei, amarrei
Amarrei e dei o nó
Amarrei os inimigos
Na pontinha do cipó (2x)",,,Samba Cabula
Baianos,Força africana,"Força Africana
Força Baiana
Força Divina
Força do Bem (2x)
Oi descarrega estes filhos
E leva pro sondas do mar. (2x)",,,Samba Cabula
Baianos,Mulher rendeira,"Olê mulher rendeira
Olê mulher rendá (2x)
Tu me ensina a fazer renda
Que eu te ensino a namorar (2x)",,,Samba Cabula
Baianos,Chico baiano,"Chico Baiano tem a coroa de rei
Mas ele é o rei na Guiné
Vem saravá meu Pai de Aruanda
Saravá Umbanda
Seus filhos de fé",,,Samba Cabula
Baianos,Descarrego dos Orixás,"Ogun bateu na terra, no rai de Xango
Toda a poeira que sobrou
Oxum pra Aruanda levou, levou, levou
Licenca de Oxossi ela ganhou
Na onda de Iemanjá
Iansa no barra-vento
Pra Oxalá tudo levou, levou, levou",,,Samba Cabula
Baianos,Subida - Quando o coco cai,"Quando o coco cai
O coqueiro chora (2x)
Adeus minha gente
Os baianos vão embora (2x)",,,Samba Cabula
Baianos,Madalena vem em socorro,"Descarrega, descarrega
Que esse filho tem precisao
Madalena vem em soccorro
Limpa toda a obesessao

Ogun já está de ronda
Exu de prontidao
Leva pro mar profundo
Toda dor e aflicao",,,Samba Cabula
Baianos,Descarrega descarrega,"Descarrega, descarrega
Todo mal que aqui está
Leva, leva, leva
Tudo pró fundo do mar",,,Samba Cabula
