Gira,Título do Ponto,Letra do Ponto,Médium,Entidade,Toque
Boiadeiro,Ela é Oyá,"Ela é Oya
Iansã menina

Olha que o céu clareou
Ô Iansã
Menina, seu jeito me fascina
Quando o dia raiou
É de arrepiar

Fez o filho pensar
Ô Iansã guerreira não há barreiras
A Mãe do tempo mandou
Para lhe segurar (2x)

A nova era chegou
Agora vamos plantar

Do humaitá Ogum brandou
Seu Oxossi atinou
Iansã vai chegar
A luz brilhou em seu Jacutá

O ogã já firmou e anunciou
Atabaque afinou
Prepare que agora vamos cantar
Guerreira agora vai reinar

A eparrei ela é Oyá, ela é Oyá
Ô Iansã Menina seu jeito me fascina
A eparrei é Iansã, é Iansã
É de arrepiar
A eparrei
Ô Iansã guerreira não há barreiras

Quando Iansã vai pra batalha
Todos os cavaleiros param
Pra lhe segurar (2x)
Só pra ver ela passar (2x)",,,Samba Cabula
Boiadeiro,O tempo mudou,"O tempo mudou!
Fez o céu brilhar

O Sol e a Lua irradiam energia
Para renovar
Que renasça o amor
E fortaleça a fé

Pois Iansã está soprando pelo mundo
Um vendaval de Axé!

Ô Iansã Menina seu jeito me fascina
E de arrepiar
Ô Iansã guerreira não há barreiras
Pra lhe segurar (2x)",,,Samba Cabula
Boiadeiro,Oyá te te,"Oyá te te
Oyá te te, Oyá te te, Oyá (2x)

O que eu do para Iansã
É o que eu dou para Oyá (2x)",,,Samba Cabula
Boiadeiro,Eram duas ventarolas,"Eram duas ventarolas
Eram duas ventarolas
Duas ventarolas ventando no mar (2x)

Uma era Iansã, Epahey
A outra era Iemanjá, Odô Siabá (2x)",,,Samba Cabula
Boiadeiro,Meu Pai que barulho é esse,"Meu pai que barulho é esse
Que vem lá do bambuzal (2x)

É Iansã de Balê
Oi dando o Ilá para guerrear (2x)

O seu bailar é como ventania
Seu grito é forte como um trovão
Saravá bela Iansã
Na mão direita traz sua espada
Na mão esquerda seu Patakotô
Coroada com seu Ade
Foi Omolu quem te consagrou
(ôôôô)",,,Samba Cabula
Boiadeiro,Ventou é Oyá,"Ventou, relampejou e trovejou
É Iansã que vem chegando
Trazendo todo seu amor (2x)

É Iansã, Oyá, Epahey!
Minha mãe guerreira
Oyá, Epahey!
Senhora dos ventos
E das tempestades
Leva para sempre
A dor e a maldade

É Iansã, Oyá, Epahey!
Minha mãe guerreira
Oyá, Epahey!
Balança com o vento
E traz movimento
Nos dê equilíbrio
Pra fazer o bem",,,Samba Cabula
Boiadeiro,Olha eu,"Olha eu, olha eu
Olha eu, bela Oyá
Olha eu, olha eu

Vamos todos cantar juntos
Para saudar Iansã com fé

Quando Iansã chegou
Saravou la lori xá
Ogã louvou sua coroa
Eparrey bela Oyá!

Ela é moça bonita
Moça rica ela é
Conhecida dentro do santo
Ela é Iansã do balé",,,Samba Cabula
Boiadeiro,Zé das Campinas - Cavaleiro das campinas,"Ele é caboclo desta aldeia
É guerreiro no Jurema
É cavaleiro das campina
É sementinha de Lembá.

Ô meu pai vem ver teus filhos
Venha todos abençoar
É a tua folha é quem nos cura
É segredo no Jurema
Ô venha ver meu caboclo

Venha ver a tua aldeia
Venha ver a tua aldeia
Venha ver teu Jurema (2x)",Pai Marcos,Zé das Campinas,Samba Cabula
Boiadeiro,Tião Boiadeiro,"Meu nome é Tião Boiadeiro
Meu nome é Tião Boiadeiro
Toco a boiada pelo sertão
Na fé de pai Oxalá
Tocando a boiada por esse mundão",Pai Erick,Tião Boiadeiro,Samba Cabula
Boiadeiro,Menina do sobrado,"A menina do sobrado
Mandou me chamar
Pró seu criado (2x)

Eu mandei dizer a ela
Que estou vaquejando o meu gado (2x)

Sou eu boiadeiro sou eu
Sou eu Boiadeiro
Que gosta de um
Samba arrojado (2x)

Mas ele é homem
Destemido e corajoso",Pai Erick,Tião Boiadeiro,Samba Cabula
