Gira,Título do Ponto,Letra do Ponto,Médium,Entidade
Caboclo de Oxóssi,Saudação a Oxóssi - Quem manda na mata,"Quem manda na mata é Oxóssi
Oxóssi é caçador
Oxóssi é caçador (2x)

Ouvi meu Pai assoviar
Ele mandou chamar (2x)

É de Aruanda auê
É de Aruanda auá
Todos os Caboclos de Umbanda
É de Aruanda (2x)",,
Caboclo de Oxóssi,Eu vi chover eu vi relampear,"Eu vi chover, eu vi relampear
Mas mesmo assim o céu estava azul
Firma seu ponto na folha da Jurema
Oxóssi reina de norte a sul (2x)",,
Caboclo de Oxóssi,A mata estava escura,"A mata estava escura
Um anjo iluminou
No centro da mata virgem
Foi seu Oxóssi quem chegou

Mas ele é o rei
Ele é o rei
Ele é o rei
Mas ele é o rei de Aruanda
Ele é o rei (2x)",,
Caboclo de Oxóssi,O rei das matas,"Sou filho do guerreiro
De uma flecha só
Sou filho de Oxóssi caçador

E todo bom guerreiro não anda só
Tem sempre um irmão merecedor

O Rei das Matas
O meu protetor (2x)

Saravá meu pai Oxóssi
Sua benção meu senhor
Okê Arô (4x)
Okê Arô (3x)

Sou filho do guerreiro
De uma flecha só
Sou filho de Oxóssi caçador

Ele é mensageiro do Pai maior
E cumpre sua missão
Com muito amor

O Rei das Matas
O meu protetor (2x)

Saravá meu pai Oxóssi
Sua benção meu senhor
Okê Arô (4x)
Okê Arô (3x)",,
Caboclo de Oxóssi,7 Flechas - Lê lele,"Lê, lele
Lere lere lere lere lerá
Lê, lele
Caboclo 7 Flechas no congá

Saravá Sr. 7 Flechas
Ele é o Rei da Mata
A sua bodoca atira paranga
Sua flecha mata!
Lê lê lê","Pai Marcos, Thiago",7 Flechas
Caboclo de Oxóssi,Mata Virgem - Na mata virgem,"Na mata virgem uma coral piou
Ele atirou a sua flecha certeira. (2x)

Ele atirou, ele atirou, ele atirou
Atira caboclo lá na mata da Jurema. (2x)","Pai Marcos, Drika",Mata Virgem
Caboclo de Oxóssi,Pena Verde - A mata estremeceu,"A mata estremeceu
Quem será, quem será (2x)

É o caboclo Pena Verde
Com sua falange ele vem trabalhar (2x)","Pai Erick, Diego",Pena Verde
Caboclo de Oxóssi,7 Flechas - Foi numa tarde serena,"Foi... numa tarde serena
Lá na mata da Jurema
Eu vi o Caboclo bradar (2x)

Kio... kio, kio, kio, que era
Toda a Mata está em festa
Saravá Seu 7 Flechas
Ele é rei da floresta (2x)","Pai Marcos, Thiago",7 Flechas
Caboclo de Oxóssi,Mata Virgem - Embaixo de um arvoredo,"Sentado, embaixo de um arvoredo
No meio da mata virgem
Uma Coral piou
Era o Caboclo Mata Virgem
Que na Coral se transformou. (2x)

Foi aí que ele me disse
Numa linguagem Guarani
Sou filho do luar
Descendente de Tupi (2x)

Tupi, Tupi, Tupi, Tupi.
Sou filho do luar
Descendente de Tupi (2x)","Pai Marcos, Drika",Mata Virgem
Caboclo de Oxóssi,Caboclo Canindé,"Cabo, cabo
Caboclo Canindé
Quem tá morto tá deitado
Quem tá vivo tá de pé",Pai Erick,Canindé
Caboclo de Oxóssi,Pena Verde - Eu vi na margem do rio,"Eu vi na margem do rio
Em linda manhã serena (2x)
Caboclo Pena Verde
Firmando ponto na areia (2x)

Galo cantou na serra
A mata estremeceu (2x)
Caboclo Pena Verde
Na cachoeira apareceu (2x)

Ele é Caboclo Guerreiro
Que mora no rochedo
Somente Cobra Coral
Conhece dele o segredo (2x)","Pai Erick, Diego",Pena Verde
