Gira,Título do Ponto,Letra do Ponto,Médium,Entidade
Caboclos de Ogum,General da Umbanda,"Ogum é general da Umbanda
Cavaleiro de Aruanda
Vem pra Umbanda vem cá

Não há mal e nem demanda
Que Ogum com sua força
Não consiga derrubar

Vem montado em seu cavalo
7 lanças, Rompe Mato
Ogum Iara vem cá

Tenha medo feiticeiro
Salve São Jorge Guerreiro
Que chegou pra trabalhar

Ogum
Grande general da Umbanda
Eu vou louvar
Tenha fé nesse guerreiro
O amor de Sr Ogum
Espalha luz ao mundo inteiro

Ogum
Grande general da Umbanda
Eu vou louvar
Tenha medo Feiticeiro
É do ouro de Oxum
A armadura do guerreiro

Saravá Ogum
Vem me ajudar
Saravá Ogum
Vem me proteger
Oi salve Ogum
Salve o povo de Aruanda
Saravá Ronda da Lua
Que chegou no meu terreiro",,
Caboclos de Ogum,Casa de guerreiro,"Nesta casa de guerreiro (Ogum)
Vim de longe pra rezar (Ogum)
Peço á deus pelos doentes (Ogum)
Com fé em Oxalá (Ogum)
Ogum salve a casa santa (Ogum)
Os presentes e os ausentes (Ogum)
Salve nossas esperanças (Ogum)
Salve velhos e crianças (Ogum)
Preto velho ensinou (Ogum)
Na cartilha de Aruanda (Ogum)
E Ogum não esqueceu (Ogum)
Como vencer a demanda (Ogum)

Ogum, meu pai
Ogunhê (Ogum) (2x)

A tristeza vai embora (Ogum)
Vai na espada de um guerreiro (Ogum)
E a luz do romper da aurora (Ogum)
Vai brilhar neste terreiro (Ogum)
A tristeza vai embora (Ogum)
Vai na espada de um guerreiro (Ogum)
E a luz do romper da aurora (Ogum)
Já Brilhou neste terreiro (Ogum)

Ogum, meu pai
Ogunhê (Ogum) (2x)",,
Caboclos de Ogum,Vencedor de Demanda,"Ogum Cavaleiro de Umbanda
Vencedor de Demandas
Não deixa filho tombar (2x)

No luar ele chama a sereia
Risca o ponto na areia
Unindo as forças com o mar
E quando ele chega na aldeia

As estrelas clareiam pra ver
Ogum trabalhar (2x)",,
Caboclos de Ogum,Ogum Tá de Frente,"Querem destruir o meu reinado
Mas Ogum tá de frente
Mas Ogum tá de frente (2x)

Eu sou filho de Ogum
O meu corpo é fechado
Eu sou filho de Ogum
Feitiço nenhum vai virar pro meu lado (2x)",,
Caboclos de Ogum,Dançar Nagô,"Seu Ogum disse
Que dançar Nagô é bom (2x)

Dançar Nagô é bom
Oi Dançar Nagô (2x)",,
Caboclos de Ogum,Guarda a pedreira,"Ogum guarda a pedreira
Mandado por Oxalá
Com a espada e com a lança, Ogum
Seus filhos vêm te ajudar, Ogum",,
Caboclos de Ogum,Quem Me Dera Ogum,"Quem me dera Ogum
Para ser meu guia (2x)

Ele é praça de cavalaria
Ordenança da Virgem Maria. (2x)",,
Caboclos de Ogum,Ronda da Lua - Quem está de ronda,"Quem está de ronda? É Ogum!
Quem segura a banda? É Ogum!
Quem abre a minha estrada? É Ogum!
Quem eu louvo na alvorada? É Ogum! (2x)

Orixá guerreiro
Vencedor de demanda
Sua espada reluz
Na nossa Umbanda

É o Sol que me aquece
A estrela que me guia
Quem está de ronda
É o oficial do dia","Pai Marcos, Drika","Ronda da Lua, Ogum de Ronda"
Caboclos de Ogum,Quem está de ronda é São Jorge,"Quem está de ronda é São Jorge
Deixa São Jorge rondar (2x)

São Jorge é guerreiro
Quem manda na terra
Quem manda no mar (2x)

Saravá meu Pai (2x)

Girar é bom, Girar é Bom
Girar é Bom, É bom girar",Pai Marcos,Ronda da Lua
Caboclos de Ogum,Romaria,"Na porta da romaria
Eu vi um cavaleiro de ronda (2x)

Ele trazia um escudo no peito
E uma lança na mão
Ogum guerreou
Venceu a guerra
E matou o dragão (2x)",Pai Marcos,Ronda da Lua
