Gira,Título do Ponto,Letra do Ponto,Médium,Entidade,Toque
Caboclos de Xangô,Orixá Xangô - Se eu errei,"Se eu errei, aqui estou
Pedindo maleme meu pai Xangô (2x)

Mandai a faísca de um
Raio pra me iluminar
Segura a pedra na pedreira
Não deixa rolar

Xangô, Kâo meu pai
Seus filhos balanceiam
Mas não cai (2x)",,,
Caboclos de Xangô,Dizem que Xangô,"Dizem que Xangô
Dizem que Xangô
Mora na pedreira
Mas não é lá
Sua morada verdadeira (2x)

Xangô mora numa cidade de luz
Onde mora Santa Barbara
Oxumaree Jesus (2x)",,,
Caboclos de Xangô,Ele brandou na aldeia,"Ele bradou na aldeia
Bradou na cachoeira
Em noite de luar
No alto da pedreira
Vem fazer justiça
Pra nos ajudar (2x)

Ele bradou na aldeia, kâo kâo
E aqui vai bradar, kâo kâo
Ele é Xangô da pedreira
Ele nasceu na cachoeira
Lá no Juremá (2x)",,,
Caboclos de Xangô,Xangô meu pai - Quebra demanda,"Xangô meu pai
Xangô meu pai
Amarra os inimigos e dá um nó
Xangô meu pai
Amarra os inimigos com cipó (2x)

Estão queimando vela
Para me derrubar
Eu já fiquei doente, sem poder andar
Agora estou aqui, para saudar Xangô
Não deixa rolar
E virar essa macumba
No peito de quem mandou",,,
Caboclos de Xangô,Por de trás daquela serra,"Por de trás daquela serra
Tem uma linda cachoeira (2x)
É de meu pai Xangô
Que arrebentou sete pedreiras (2x)",,,
Caboclos de Xangô,Luar lá na pedreira de Xangô,"Xangô, Xangô
Luar lá na pedreira de Xangô (2x)

Eu vi no clarão do luar, eu vi
Eu vi lá na pedreira pedra rolar (2x)

Eu vi na Lua cheia
No alto lá da pedreira
Xangô falando
Conselhos pra nos ajudar (2x)

Não deixe o mal entrar na sua vida
Não deixe essa
Semente germinar (2x)

Não plante essa semente
Modifique o seu presente
Só assim colherá os bons frutos
Que a vida trará (2x)",,,
Caboclos de Xangô,Meu pai Xangô,"Xangô
Meu pai na Umbanda
Vem de Aruanda ele é meu Orixá
Do alto de uma pedreira
Ele faz justiça pra seus filhos ajudar (2x)

Xangô na sua aldeia
Não há maldade
Só o amor pode reinar.
Tu me ensinaste a fazer a caridade
E pela Terra
A Umbanda exaltar

Meu pai com sua machada
Ele não ataca
É só para me guardar
E no seu livro
Ele escreve o meu destino
Meu pai Xangô
Ilumina meus caminhos.

Ele é Xangô, Kaô, Kaô!
Vencedor de demandas
Ele é meu protetor (2x)",,,
Caboclos de Xangô,Ele é meu protetor,"Chamei meu pai Xangô Ôô Ôô
Para ele vir me ajudar
Ele é meu protetor
Mal nenhum vai me pegar

Chamei meu pai Xangô
Porque senti uma
Carga densa incomodar
Meu corpo arrepiou
Essa demanda não vai me derrubar

Meu pai Xangô bradou
E o seu brado ecoou pelo ar
O céu relampejou
E um raio anunciou
Que Iansã vem guerrear",,,
Caboclos de Xangô,Ele é meu Orixá,"Xangô, meu pai na Umbanda
Vem de Aruanda ele é meu Orixá
Do alto de uma pedreira
Ele faz justiça pra seus filhos ajudar (2x)

Xangô na sua aldeia
Não há maldade
Só o amor pode reinar
Tu me ensinaste a fazer a caridade
E pela Terra a Umbanda exaltar

Meu pai com sua machada
Ele não ataca, é só para me guardar
E no seu livro
Ele escreve o meu destino
Meu pai Xangô
Ilumina meus caminhos

Ele é Xangô, Kaô, Kaô
Vencedor de demandas
Ele é meu protetor (2x)",,,
Caboclos de Xangô,Rei caboclo,"Meu Pai Xangô é rei lá na pedreira
Também é Rei Caboclo da cachoeira (2x)

Na sua aldeia tem os seus caboclos
Na sua mata tem as cachoeiras
No seu saiote tem pena dourada
Seu capacete brilha na alvorada

Ele é Xangô, Kaô, Kaô
Vencedor de demandas
Ele é meu protetor (2x)",,,
