Gira,Título do Ponto,Letra do Ponto,Médium,Entidade,Toque
Ciganos,Cigana Esmeralda - Sob o Clarao,"Sob o clarão da lua
Bailam punhais no ar
No ritual do fogo
Yago vem trabalhar
Trazendo paz e harmonia
No brilho do seu cristal
Trazendo força e magia
No aço do seu punhal

Yago
Vem para bailar
Força andarilha de Oxalá (2x)","Pai Marcos, Drika, Thiago",Yago,
Ciganos,Numa noite linda - Esmeralda,"Numa noite linda
Numa noite estrelada
Sete pontos de estrela
Marcavam a encruzilhada

Sete passos à esquerda
Um acampamento
Uma dama cigana
Chamava o movimento

Filho do vento
Com seu leque de cartas
Ao lado da fogueira
Ela leu a minha mão
E me falou da minha vida inteira

O seu nome eu perguntei
E ela me respondeu

O meu nome eu te dou:
Sou Esmeralda, a cigana do amor!","Pai Marcos, Drika, Thiago",Esmeralda,
Ciganos,Rosa Maria Madalena - Lua Nova,"Lua nova, lua nova
Madalena vem dançar
Gira a saia, gira o mundo
A magia está no ar
Oh lua nova é Madalena (2x)

Lua nova, lua nova
Madalena vem dançar
Gira a saia, gira o mundo
A magia está no ar
Oh lua nova é Madalena (2x)",Lu,Rosa Maria Madalena,
Ciganos,Abre a roda,"Oi, abre a roda
Deixa a cigana trabalhar (2x)

Mas ela tem
Ela tem peito de aço
Ela tem peito de aço
E um coração de sabiá (2x)",,,
Ciganos,Ciganinha do amor - Lua crescente,"Lua crescente
Me leva pro Oriente (2x)

Lua nova me renova
Lua cheia me incendeia (2x)
Me incendeia, me incendeia
E a Cigana não bambeia (2x)

Minha Cigana, minha paz
Meu beija-flor (2x)

Pedra rara é Esmeralda
A Ciganinha do amor (2x)",,,
Ciganos,Vinha caminhando a pé - Cigana de fé,"Vinha caminhando a pé
Para ver se encontrava
A minha cigana de fé (2x)

Ela parou
E leu minha mão
E disse-me
Toda verdade

Eu só queria saber
Onde andava a minha cigana de fé",,,
Ciganos,Ganhei uma barraca velha,"Ganhei uma barraca velha
Foi a cigana que me deu (2x)

O que eu tenho é da cigana
O que é dela não é meu (2x)

Ciganinha poerê
Poerê poerá (4x)",,,
Ciganos,Cirandeiro,"Oh cirandeiro, ó cirandeiro ó (2x)

A pedra do seu anel
Brilha mais que ouro em pó (2x)",,,
Ciganos,Vem Caminhar,"Vem, vem caminhar
Com ciganos da terra
Com ciganos do mar (2x)

Santa Sara Kali
Abençoe essa terra
Com alegria e amor
Prosperidade e fé (2x)

Bate palma Cigano
Bota o pé na estrada
Com o olhar adelante
Alegre caminhada (2x)",,,
Ciganos,Cigana da Estrada,"Quem nesse mundo
Nunca ouviu dizer
Quem nesse mundo
Nunca ouviu falar (2x)

De uma cigana
Que mora naquela estrada
Ela tem sua morada
Sob o clarão do luar (2x)

Cigana da estrada
Força poderosa
Me dê proteção e axé
Ciganinha formosa (2x)",,,
Ciganos,Subida - Ciganos,"Mas eles vão no clarão da Lua
Mas eles vão pela estrada fora

Povo Cigano desarma a tsara
E deixa no terreiro
A proteção de Santa Sara",,,
Ciganos,Descarrega descarrega - Ciganos,"Descarrega, descarrega
Todo mal que aqui está
Leva, leva, leva
Tudo pró fundo do mar",,,
Ciganos,Descarrego dos Orixás - Ciganos,"Ogun bateu na terra, no rai de Xango
Toda a poeira que sobrou
Oxum pra Aruanda levou, levou, levou
Licenca de Oxossi ela ganhou
Na onda de Iemanjá
Iansa no barra-vento
Pra Oxalá tudo levou, levou, levou",,,
Ciganos,Madalena vem em socorro - Ciganos,"Descarrega, descarrega
Que esse filho tem precisao
Madalena vem em soccorro
Limoa toda a obesessao

Ogun já está de ronda
Exu de prontidao
Leva pro mar profundo
Toda dor e aflicao",,,
