Gira,Título do Ponto,Letra do Ponto,Médium,Entidade,Toque
Esquerda,Orixá Obaluaê - Se você está sofrendo,"Se você está sofrendo
No leito ou com frio e com dor
Muita gente ele curou
Se seu corpo está ferido
E não pode mais suportar
Peça proteção a ele
Que ele vai lhe ajudar

Obaluae!!!
É Obaluae, é Obaluae
É Atoto!
É Obaluae, é Obaluae

Tem segredo da vida
Do começo e do fim
O meu senhor das palhas
Tenha muito dó de mim

Na procissão das almas
Que partem pró infinito
Ele vai mostrando a elas
Outro mundo mais bonito!

Obaluae!!!
É Obaluae, é Obaluae
É Atoto!
É Obaluae, é Obaluae",,,Samba Cabula
Esquerda,Na Pedra Fria,"Na pedra fria, no pé do morro
Dizem que mora, um velho lá (2x)

Ele é curador, ele é rezador
Ele é Xapana, ele vai lhe curar (2x)

Com pipocas e dendê
Atotô é Orixá
Meu pai Oxalá
É o rei venha me valer (2x)

E o velho Omulu
Atotô, obaluaê (2x)
Atotô, obaluaê
Atotô, babá
Atotô, obaluaê
Atotô, é Orixá (2x)",,,Samba Cabula
Esquerda,Abertura - Com licença da Umbanda,"Com licença da Umbanda
Pra esquerda eu vou virar (2x)
Vou chamar todos os Exus
Para todo mal levar (2x)

Oi dá licença aê
Oi dá licença aá (2x)

Desci, desci
A umbanda me chamou (2x)

Na minha banda eu sou o maior
Oxalá ainda é maior (2x)",,,Samba Cabula
Esquerda,Abertura - Portão de ferro,"Portão de ferro
Cadeado de madeira (2x)

É na porta do cemitério
Onde mora Exú Caveira (2x)

É Tirirí e Marabó
Exu rei da encruzilhada!
Salve o povo da calunga
Sem Exu não se faz nada! (2x)

Eo, eo, o dono casa chegou (2x)",,,Samba Cabula
Esquerda,Exu Caveira - Mosca Varejeira,"Ê poeire, Ê poeira (2x)

Olha a mosca varejeira
Salve Exu Caveira (2x)","Pai Marcos, Eric Oliveira",Exu Caveira,Samba Cabula
Esquerda,Exu Caveira - Eu vi homem sentado,"Eu vi homem sentado
Debaixo da amendoeira (2x)

Era osso só
Era Exu Caveira (2x)","Pai Marcos, Eric Oliveira",Exu Caveira,Samba Cabula
Esquerda,Exu Caveira - Caveira eu tô lhe chamando,"Caveira eu tô lhe chamando
Caveira!
Eu tô lhe chamando
Caveira!
E todo o seu bando (2x)","Pai Marcos, Eric Oliveira",Exu Caveira,Samba Cabula
Esquerda,Exu Caveira - Soltaram um bode preto,"Soltaram um bode preto
Meia noite na calunga (2x)

Ele correu os quatro scantos
Foi parar lá na porteira
Bebeu marafo com Exú Caveira (2x)","Pai Marcos, Eric Oliveira",Exu Caveira,Samba Cabula
Esquerda,Exu Caveira - Dono da porteira,"Ehhh Exu Caveira
Guardião do cemitério
Ele é o dono da porteira (2x)

Vem da cruz das almas
Das catacumbas
Vem estrelando osso
Chicoteando kiumba (2x)","Pai Marcos, Eric Oliveira",Exu Caveira,Samba Cabula
Esquerda,Exu Caveira - Eu entrei lá na calunga,"Eu entrei lá na calunga
Eu entrei lá na calunga
E parei lá no cruzeiro
Veio um vento forte
E levantou poeira

Zuá, zuo, zuá zueira
Aquele vento era Exu Caveira (2x)","Pai Marcos, Eric Oliveira",Exu Caveira,Samba Cabula
Esquerda,Exu Caveira - Mrimbondo pequenino,"Não tem medo de ninguem
Ele é Exu Caveira
E só trabalha para o bem

Se você não acredita
É melhor acreditar
Ele é Exu Caveira
Aqui e em qualquer lugar

Zuá, zuo, zuá zueira
Aquele vento era Exu Caveira (2x)","Pai Marcos, Eric Oliveira",Exu Caveira,Samba Cabula
Esquerda,Exu Caveira - Vento forte,"Vento forte, vento fraco
Na calunga tem poder
Esta poeira é do Caveira
Ele vem nos defender

Zuá, zuo, zuá zueira
Aquele vento era Exu Caveira (2x)","Pai Marcos, Eric Oliveira",Exu Caveira,Samba Cabula
Esquerda,Se matar o boi,"Se matar o boi
Mata na porteira (2x)

Pega a melhor parte
E oferece pro Caveira (2x)

A porteira é larga
Deixa o boi passar
Se ele não morrer aqui
Morre em qualquer lugar (2x)",,,Samba Cabula
Esquerda,Exu Pantera Negra - Quando toco meu tambor,"Quando eu toco meu tambor
Eu atiço a fera (2x)

Faço curimba lá no mato
Pra exu pantera (2x)

Eu arriei uma oferenda
Embaixo de uma figueira (2x)

Para saudar exu pantera
Exu pimenta, exu mangueira (4x)

Eu entrei lá no mato
Ouvi um rugido de uma fera (2x)

Era mitade homem
Outra mitade de fera (2x)

Exu larô povo do mato
Saravá o exu pantera! (4x)",Pai Erick,Exu Pantera Negra,Samba Cabula
Esquerda,Exu Calunga - Calunga ê,"Calunga ê
Quebra demanda

Calunga ê, Calunga á
Exu que veio
Pra demanda quebrar (2x)

Exu que veio
Pra demanda quebrar
Exu que veio, é Exu Calunga (2x)",Pai Erick,Exu Calunga,Samba Cabula
Esquerda,Exu Marabo do Cemitério - Marabo iê,"Marabo iê, Marabo iá (2x)

Oh cade Marabo
Cade Marabo
Cade Marabo
Marabo iá (2x)",Pai Marcos,Exu Marabo do Cemitério,Samba Cabula
