Gira,Título do Ponto,Letra do Ponto,Médium,Entidade,Toque
Malandros,Zé Pretinho - Bala trocada,"Bala trocada não dói
Não dói, não, não dói não (2x)

Ele dizia é madrugada

Quando Zé Pretinho morreu
Ai ele foi eternizado
Pois hoje, eu não sinto medo de nada
Porque ele está sempre ao meu lado

Ele dizia, é madrugada
É madrugada (2x)

Pra ser malandro tem que ter palavra
Ou tu aprende meu amigo
Ou tu vai pra uma cova rasa (2x)

Se quiser me encontrar
A madrugada é minha morada

Quem tá girando aqui é Zé Pretinho
Sou malandro, sou do morro
Vim abrir os teus caminhos (2x)",Pai Marcos,Zé Pretinho,
Malandros,Zé Pretinho - Oi abre a roda,"Oi abre a roda
O por favor
Para chamar Zé Pretinho
Malandro trabalhador (2x)

E vem chegando
Malandro da madrugada
Fez o seu nome na Lapa
Ele é meu protetor (2x)

O bate na palma da mão
E faz ecoar o tambor
Para chamar Zé Pretinho
O malandro trabalhador (2x)

E me traz um bebedor
E um fumador que eu to querendo
Para ter outro igual a mim
Só depois de muito tempo

Ele me dizia, é madrugada
É madrugada (2x)

Se quiser me encontrar
A madrugada é minha morada

Meu nome é Zé Pretinho
Trabalho bem na encruzilhada",Pai Marcos,Zé Pretinho,
Malandros,Mestre Sibamba - Sibamba é na linha de Mouro,"Sibamba é na linha de Mouro
É na linha de Mouro
É na linha de Mouro
Ele é pau pra virar (2x)

Arreia, Sibambinha
Arreia, Sibamba
Todo o mal que aqui tiver
Sibamba é quem vai levar (2x)",Pai Erick,Mestre Sibamba,
Malandros,Mestre Sibamba - Eu bato Sibamba,"Se o mestre me chamou
Eu venho trabalhar (2x)

É com seu garrafão de cana
Bebe aqui, toma acolá
Sibamba é beberrão
Mas sabe trabalhar

Eu bato, Sibamba
Eu bato, Sibamba
Eu bato com ele no chão
Sibamba é rei dos bebo
Sibamba, eu bato com ele no chão (2x)

Eu vou me embora pra Bahia
Ver as baiana de lá
Na Bahia tem macumba
Aqui só tem patuá (2x)

Sibamba, Sibamba
Sibamba é do Pará (2x)

Seu Sibamba é beberrão
Mas sabe trabalhar (2x)",Pai Erick,Mestre Sibamba,
Malandros,Mestre Sibamba - Quem vem lá,"Quem vem lá, quem vem lá
Sou Sibamba e vou chamar
No terreiro a trabalhar
E os seus filhos ajudar (2x)

Eu quero ver
Eu quero ver você descer
Os seus filhos estremecer
E a Jurema obedecer (2x)",Pai Erick,Mestre Sibamba,
Malandros,Mestre Sibamba - Sibamba é meu pai na Umbanda,"Sibamba é meu pai na Umbanda
É meu pai na ciência
É meu protetor

Nessa vida
Os seus filhos não cai, não
Porque Príncipe Sibamba
Vem deixar a proteção

Sibamba bebe
Sibamba fuma
Sibamba leva
Os contrários na macumba (2x)",Pai Erick,Mestre Sibamba,
Malandros,Zé Pilintra das Almas - Estava Sentado,"Estava sentado
Numa mesa da Jurema
Afirmei meu ponto
E balancei o maracá (2x)

E eu saldei foi a Jurema Preta
Seu José Pilintra
Dê um tombo e venha cá (2x)",Diego,Zé Pilintra das Almas,
Malandros,Maria Navalha - Maria Navalha já chegou,"Ae, Seu Zé
Como vai, Como passou (2x)

Avisa a rapaziada
Maria Navalha já chegou (2x)","Claudia, Lu",Maria Navalha,
Malandros,Maria Navalha - Falei pra não mexer,"Eu falei pra não mexer
Eu falei pra não brigar
Os rivais ela retalha (2x)

É lá no morro
Chamam ela de Maria
Mas na alta burguesia
Só lhe chamam de Navalha (2x)","Claudia, Lu",Maria Navalha,
Malandros,Maria Navalha - Cuidado seu Zé,"Cuidado, cuidado seu zé
Não mexa com essa mulher (2x)

Mas se você pisar devagarinho
Ela abre seus caminhos
Ela abre seus caminhos

Mas se você debochar
Maria navalha bota pra quebrar (2x)

Não mexa com ela
Que ela é Maria Navalha (2x)","Claudia, Lu",Maria Navalha,
