Gira,Título do Ponto,Letra do Ponto,Médium,Entidade,Toques
Marinheiros,Como É Lindo o Canto de Iemanjá,"Mãe d'água
Rainha das ondas
Sereia do mar
Mãe d'água
Seu canto é bonito
Quando vem do mar (2x)

Como é lindo o canto de Iemanjá
Faz até o pescador chorar
Quando escuta a Mãe d'água chamar

Vai com ela pro fundo do mar
Iemanjá!
Vai com ela pro fundo do mar
Iemanjá!
Iêê, Iemanjá!

Rainha das ondas, sereia do mar
Rainha das ondas, sereia do mar (2x)",,,Samba Cabula
Marinheiros,Sonhei que estava na beirada praia,"Sonhei que estava na beirada praia
Sonhei que estava na beirada praia
Olhando as ondas do mar

No céu tinham muitas estrelas
A lua estava a brilhar

Perdido no mundo eu estava
Sem ter onde ficar.

De repente
Uma voz me falou baixinho
Tenha Fé em Oxalá! (2x)

Era Ela, nas ondas do mar
Que coisa mais linda
Mamãe Iemanjá!

Era Ela, nas ondas do mar
Estendendo suas mãos
Para me Abençoar.",,,Samba Cabula
Marinheiros,Hoje eu vou cantar,"Hoje... hoje eu vou cantar!
(Hoje eu vou cantar)
Vou louvar na areia
Em lua cheia
Minha Mãe Iemanjá! Ie, ie (2x)

Rosa do mar
Minha Estrela do céu azul
Não é história de um pescador
Que o meu amor
Eu vou lhe entregar! Ie, ie (2x)

Deixa...
Deixa as ondas do mar passar
Ouça o canto da bela Odoyá.
Oxalá quem mandou
Pro fundo do mar! (2x)",,,Samba Cabula
Marinheiros,Janaína Vem Ver,"Eu fui... na beirada praia
Pra ver... o balanço do mar (2x)

Eu vi... um retrato na areia
Me lembrei da sereia
Comecei a chamar (2x)

Ôh Janaína vem ver
Ôh Janaína vem cá
Receber suas flores
Que venho lhe ofertar (2x)",,,Samba Cabula
Marinheiros,Vou Chamar Minha Mãe,"Vou chamar minha mãe (eu vou) (2x)
Na beira do mar
Na beira do mar.

Vou chamar minha mãe (eu vou) (2x)
Ela é Iemanjá, a rainha do mar

Sereia do mar
Firma seu ponto na areia
Noite de Lua cheia
Vem nos abençoar

Sereia do mar
Invoca seus filhos com canto
O seu dia é santo
Saravá Odoyá

Salve a santa sereia
Que ilumina a areia
Com as estrelas do mar

Que beleza que vem
Para nos contemplar
Leva contigo o meu canto
Para o fundo do mar (2x)",,,Samba Cabula
Marinheiros,Quando estou feliz eu choro,"Seu colar é de concha
Seu vestido se arrasta na areia
Ela tem cheiro de mar
Ela sabe cantar ponto de sereia (2x)

Ô Janaína
Quando estou feliz eu choro
Ô Janaína
Deixa eu dormir no seu colo (2x)",,,Samba Cabula
Marinheiros,Navio Negreiro - Iemanjá,"Navio Negreiro
No fundo do mar (2x)

Correntes pesadas
Na areia a arrastar (2x)

A negra escrava se pôs a cantar (2x)

Saravá minha Mãe Iemanjá (2x)

Virou a caçamba de fundo
Pro fundo do mar (2x)

E quem me salvou
Foi Mãe Iemanjá (2x)

Saravá minha Mãe Iemanjá (2x)",,,Samba Cabula
Marinheiros,Escrevi um pedido na areia,"Iemanjá
Olhando para suas ondas
Pra sempre vou confiar

Mae D'agua
Rainha do mar
Ó, linda sereia
Venha me ajudar (2x)

Eu escrevi um pedido na areia
Pedindo a Zambi pra me socorrer
Eu escrevi um pedido na areia
Mas foi mae D'água
Quem veio me valer (2x)

E foi nas ondas do mar
Que entreguei os meus problemas
E aprendi a confiar
Que todo o mal
Não dura pra sempre
E que a paz é uma semente
Que precisa semear

E no horizonte do mar
Tão infinito
Iemanjá me acolheu
E me deu um mundo
Tão mais bonito

Eu abri meu coração
Ela me estendeu a mão
E entreguei meu caminhar
A Iemanjá (2x)",,,Samba Cabula
Marinheiros,Eram duas ventarolas,"Eram duas ventarolas
Eram duas ventarolas
Duas ventarolas
Ventando no mar (2x)

Uma era Iansã, eparrey
A outra era Iemanjá, Odociá (2x)",,,Samba Cabula
Marinheiros,Martin Pescador - Que banda é a sua,"Ô Martin Pescador
Que banda é a sua?

Bebendo cachaça
Caindo na rua (2x)

Eu bebo minha cachaça
Eu bebo muito bem
Pago com meu dinheiro
Não é da conta de ninguém (2x)",Pai Marcos,Martin Pescador,Samba Cabula
Marinheiros,Martin Pescador - Ondas do Mar,"O seu Martim
Cadê as ondas do mar?

Não sei, deixei muito longe
Pisei na umbanda
E vim trabalhar (2x)",Pai Marcos,Martin Pescador,Samba Cabula
Marinheiros,Martin Pescador - Sei Sei Sei,"Sei, sei, sei
Sei quem sou eu (2x)

Sou das águas sagradas
De Mãe Iemanjá
Sou Martin pescador
Do fundo do mar (2x)",Pai Marcos,Martin Pescador,Samba Cabula
Marinheiros,Martin Pescador - Tá bebo tá,"Seu Martim tá bebo tá
Quem mandou Martim beber (2x)

Oh trás o copo
Que caneca tá furada
Seu Martim não bebeu nada (2x)

Esse homem não bebe nada
Debaixo da mão
Tem um garrafão (2x)",Pai Marcos,Martin Pescador,Samba Cabula
Marinheiros,Mestre Sibamba - Sibamba é na linha de Mouro,"Sibamba é na linha de Mouro
É na linha de Mouro
É na linha de Mouro
Ele é pau pra virar (2x)

Arreia, Sibambinha
Arreia, Sibamba
Todo o mal que aqui tiver
Sibamba é quem vai levar (2x)",Pai Erick,Mestre Sibamba,Samba Cabula
Marinheiros,Mestre Sibamba - Eu bato Sibamba,"Se o mestre me chamou
Eu venho trabalhar (2x)

É com seu garrafão de cana
Bebe aqui, toma acolá
Sibamba é beberrão, mas sabe trabalhar

Eu bato, Sibamba
Eu bato, Sibamba
Eu bato com ele no chão
Sibamba é rei dos bebo
Sibamba, eu bato com ele no chão (2x)

Eu vou me embora pra Bahia
Ver as baiana de lá
Na Bahia tem macumba
Aqui só tem patuá (2x)

Sibamba, Sibamba
Sibamba é do Pará (2x)

Seu Sibamba é beberrão
Mas sabe trabalhar (2x)",Pai Erick,Mestre Sibamba,Samba Cabula
Marinheiros,Mestre Sibamba - Quem vem lá,"Quem vem lá, quem vem lá
Sou Sibamba e vou chamar
No terreiro a trabalhar
E os seus filhos ajudar (2x)

Eu quero ver
Eu quero ver você descer
Os seus filhos estremecer
E a Jurema obedecer (2x)",Pai Erick,Mestre Sibamba,Samba Cabula
Marinheiros,José Pilintra das Almas - Estava Sentado,"Estava sentado
Numa mesa da Jurema
Afirmei meu ponto
E balancei o maracá (2x)

E eu saldei foi a Jurema Preta
Seu José Pilintra
Dê um tombo e venha cá (2x)",Diego,José Pilintra das Almas,Samba Cabula
Marinheiros,Zé do Mar - Seu Capitão,"Seu Capitão
Oh seu Capitão (2x)

Esse mar não tem segredo
Pra quem tem bom coração (2x)

Passei minha vida
Toda vivendo no mar
Eu nem andava
Mas já sabia nadar

No Balanço da Maré
Aprendi a trabalhar
Me chamavam marinheiro
Me chamavam Zé do mar

Foi as ondas quem me trouxe
As ondas vão me levar.",Juan,Zé do Mar,Samba Cabula
